,ROOM,FLOR,AREA,TYPE,EVAL,PRIC,OLD,SUBC,SUBD,CEDT,DISC
221,3,0,56.72,2,0,76693,1982,1,756,6.717969411142882,3
222,2,1,71.96,2,0,46554,1996,1,830,15.993003061106126,3
223,1,1,65.79,0,1,68400,2004,2,862,14.701858115996556,3
224,2,0,58.23,2,0,66118,1994,1,191,9.059839240930668,3
225,2,2,57.54,2,1,72993,1982,3,702,7.393671701697428,3
226,3,2,114.43,0,1,74107,2004,1,870,13.47991457391261,3
227,2,2,71.62,0,1,48730,2011,1,839,10.95162892291828,3
228,2,0,54.94,1,1,42774,1983,2,614,10.65051999291508,3
229,2,0,76.56,1,1,55513,2010,2,619,17.941512461648916,3
230,3,1,138.6,1,1,56278,2001,3,223,6.48963398602356,3
231,2,2,53.18,2,0,56225,1994,2,356,6.167340859946411,3
232,3,2,79.73,1,1,67729,1994,2,554,7.533331647037248,3
233,2,2,52.59,2,0,57236,1982,1,645,5.251901904811643,3
234,2,1,58.61,0,1,75073,1990,1,612,7.884185443283134,3
235,3,1,89.69,0,1,55748,2010,2,619,17.941512461648916,3
236,2,1,58.1,0,1,96214,1985,4,527,7.041072098523466,3
237,1,1,55.94,0,1,71148,2005,1,394,6.023414759074551,3
238,2,2,88.08,0,1,47571,2010,1,740,17.910601269040825,3
239,4,2,173.62,1,1,54718,2013,1,977,17.857761924555184,3
240,3,1,170.14,2,1,132245,2009,1,817,12.107866051189792,3
241,3,0,167.81,2,1,77171,2006,2,288,10.224375916234582,3
242,2,0,160.01,0,1,71246,2003,1,434,4.390027033943139,3
243,3,0,188.99,2,1,85190,2007,3,741,9.63396725140373,3
244,3,2,149.23,0,1,54279,2005,2,507,10.824084921743912,3
245,3,1,88.04,0,1,61336,1992,1,780,7.312206878588953,3
246,3,1,126.11,0,1,70574,1997,1,703,12.315460184737733,3
247,3,1,169.93,0,1,71089,2001,4,192,6.690588727319167,3
248,3,1,145.08,2,1,96361,2013,1,468,16.45811776965242,3
249,3,0,129.13,1,1,112290,2005,3,489,7.425225122565766,3
250,2,0,83.48,1,1,65286,2001,2,784,9.3067437509354,3
251,3,1,144.8,1,1,160912,2003,1,318,3.3502785806864814,3
252,3,2,149.61,2,1,96919,2005,2,206,5.177636114158356,3
253,1,0,49.61,1,1,110865,2004,2,755,3.982945024700276,3
254,2,1,81.09,2,1,130103,1999,4,606,2.6438079504628345,3
255,3,2,125.05,0,1,111876,2008,1,281,3.8043878724122275,3
256,3,1,69.69,0,1,110203,2006,3,471,2.4551854140521203,3
257,2,2,85.03,0,1,82912,2009,1,208,4.571571097115461,3
258,2,0,70,2,0,114286,1998,2,568,4.230286818326689,3
