,ROOM,FLOR,AREA,TYPE,EVAL,PRIC,OLD,SUBC,SUBD,CEDT,DISC
60,3,1,126.11,0,1,70574,1997,1,703,12.315460184737733,6
61,3,1,169.93,0,1,71089,2001,4,192,6.690588727319167,6
62,3,1,145.08,2,1,96361,2013,1,468,16.45811776965242,6
63,3,0,129.13,1,1,112290,2005,3,489,7.425225122565766,6
64,2,0,83.48,1,1,65286,2001,2,784,9.3067437509354,6
65,3,1,144.8,1,1,160912,2003,1,318,3.3502785806864814,6
66,3,2,149.61,2,1,96919,2005,2,206,5.177636114158356,6
67,1,0,49.61,1,1,110865,2004,2,755,3.982945024700276,6
68,2,1,81.09,2,1,130103,1999,4,606,2.6438079504628345,6
69,3,2,125.05,0,1,111876,2008,1,281,3.8043878724122275,6
70,3,1,69.69,0,1,110203,2006,3,471,2.4551854140521203,6
71,2,2,85.03,0,1,82912,2009,1,208,4.571571097115461,6
72,2,0,70,2,0,114286,1998,2,568,4.230286818326689,6
73,2,2,91.44,1,1,92958,2009,3,558,5.16829113054429,6
74,1,1,60.75,2,1,116873,2004,3,630,2.817838974105503,6
75,3,1,146.12,1,1,109500,2004,2,899,5.342930227429744,6
76,2,1,73.18,2,0,115469,2003,3,474,2.07101530087905,6
77,3,2,105.71,0,1,121086,2002,1,161,3.375767683525626,6
78,3,1,91.17,2,1,109576,2004,2,374,2.6067357291019584,6
79,2,0,92.02,2,1,146708,2004,1,318,3.3502785806864814,6
80,3,1,79.67,1,1,116606,2009,1,186,4.686426573433995,6
81,3,2,104.9,0,1,112489,2007,3,471,2.4551854140521203,6
82,3,1,146.77,1,1,101861,2002,2,619,4.096723596327773,6
83,2,1,76.19,2,0,119045,1992,1,617,3.5155466167899356,6
84,1,2,64.05,0,1,96800,2004,1,639,4.236044397513366,6
85,1,1,67.94,2,1,96409,2004,1,905,5.215087631236927,6
86,2,0,54.32,2,0,112298,1979,3,434,1.589162992148523,6
87,1,2,49.45,2,1,125177,2009,1,186,4.686426573433995,6
88,2,0,58.25,2,0,90988,1991,2,686,4.2036283701092545,6
89,2,2,88.33,2,1,105967,2004,3,630,2.817838974105503,6
90,2,2,52.03,2,0,125313,1981,2,863,2.7422686911193646,6
91,1,0,51.12,1,1,115024,2009,1,186,4.686426573433995,6
92,1,2,60.84,0,1,108482,2006,4,696,2.690184324863224,6
93,2,0,76.42,2,1,103115,2003,1,606,2.989730548793862,6
94,1,1,45.43,2,1,96633,2005,2,206,5.177636114158356,6
95,2,0,75.24,0,1,132377,2002,1,664,4.134592529769408,6
96,2,1,68.38,2,0,111144,2003,3,474,2.07101530087905,6
97,3,1,69.54,0,1,109290,2006,3,471,2.4551854140521203,6
98,1,1,47.86,1,1,112830,2005,1,300,3.7370676329790466,6
99,1,1,75.51,2,1,124222,1999,1,722,3.062859635274981,6
100,2,1,74.36,0,1,84455,2000,2,519,4.449777215441797,6
101,3,1,143.55,2,1,120377,2004,2,899,5.342930227429744,6
102,4,2,266.01,1,1,103004,2005,2,866,4.437893639781176,6
103,1,1,55.47,2,0,117722,2005,1,538,2.9976174155722757,6
104,2,2,63.75,1,1,107451,2005,1,300,3.7370676329790466,6
105,2,0,80.49,2,1,109331,2004,3,630,2.817838974105503,6
106,2,1,75.48,1,1,73795,2007,3,266,4.808076420731245,6
107,2,1,118.64,2,1,119690,2005,1,426,3.6121370810991547,6
108,2,2,71.7,2,0,102511,1998,2,568,4.230286818326689,6
109,2,1,77.58,2,1,109565,2004,2,374,2.6067357291019584,6
110,2,2,68.7,2,0,113538,2003,2,483,3.0416943693450538,6
111,1,2,52.25,2,0,105072,2003,3,474,2.07101530087905,6
112,2,1,55.12,2,0,137519,1996,2,450,5.544109278166503,6
113,2,0,61.11,2,1,106366,1994,1,807,5.930271432003424,6
114,2,2,57.67,2,0,106642,1990,2,690,2.770359888737264,6
115,2,1,56.34,2,0,92297,1980,2,797,3.730268921567941,6
116,2,0,70.03,0,1,105098,2008,1,460,3.871683427780007,6
117,2,0,58.79,1,1,111924,1988,2,834,5.93994007565727,6
118,2,1,65.47,2,1,102337,1987,1,181,3.7176252590057492,6
119,2,0,46.79,2,1,112204,1980,1,181,3.7176252590057492,6
120,1,1,45.85,2,0,128245,1997,3,550,2.163296508587029,6
121,3,2,104.62,1,1,46741,2012,1,708,23.26414289945908,6
122,3,1,162.92,2,1,45299,2015,1,684,23.11929679872427,6
123,3,0,139.35,2,0,26481,2004,1,533,31.608618574620767,6
124,2,2,90.23,1,1,30478,2010,2,791,30.094131165811934,6
125,3,2,128.64,2,1,47342,2014,1,930,23.468757104879348,6
126,3,2,95.46,2,1,43788,2017,1,532,27.908946965789205,6
127,2,1,89.3,1,1,47929,2014,1,338,22.467935635847684,6
128,3,2,88.62,2,0,25728,2004,1,399,28.772823020922093,6
129,3,2,162.92,2,1,44071,2015,1,684,23.11929679872427,6
130,2,1,88.12,1,1,31208,2011,2,791,30.094131165811934,6
131,2,2,80.74,2,0,25019,2001,1,391,31.330969884652156,6
132,3,1,87.29,2,1,45252,2012,1,233,24.426459086075937,6
133,2,0,87.13,1,1,41662,2013,1,519,22.219840546545917,6
134,2,1,89.04,1,1,31335,2009,2,791,30.094131165811934,6
135,2,0,89.29,1,0,30127,2009,2,791,30.094131165811934,6
136,2,2,85.39,1,1,44385,2014,1,581,22.342200022028763,6
137,2,0,53.13,1,1,40467,2014,1,591,22.781173674833422,6
138,2,1,80.8,2,1,42451,2016,1,994,23.60809271543128,6
139,2,2,88.72,1,1,46777,2012,1,708,23.26414289945908,6
140,2,1,88.01,2,1,23748,2010,1,259,34.722857962977386,6
141,3,2,108.53,2,1,42293,2015,1,603,19.541102023092744,6
142,2,1,73.73,2,1,26991,2016,1,253,35.97002362888286,6
143,3,1,95.64,2,1,43392,2016,1,994,23.60809271543128,6
144,2,2,69.23,1,1,37990,2016,1,722,31.376547112956658,6
145,3,1,137.94,2,0,26606,2004,1,533,31.608618574620767,6
146,2,1,55.82,0,1,35830,2014,1,591,22.781173674833422,6
147,1,1,58.01,1,1,32064,2010,2,791,30.094131165811934,6
148,3,0,100.73,2,1,39611,2015,1,233,24.426459086075937,6
149,2,0,100.54,0,1,28646,2009,1,533,31.608618574620767,6
150,3,0,87.86,2,1,26634,2010,1,259,34.722857962977386,6
151,2,2,78.23,0,1,36815,2015,1,711,22.484273040129636,6
152,3,1,94.96,2,1,43703,2016,1,994,23.60809271543128,6
153,2,2,67.87,2,0,20923,1994,1,444,35.691893876965366,6
154,3,0,88.27,2,1,44750,2011,1,233,24.426459086075937,6
155,2,1,86.6,2,1,23557,2010,1,259,34.722857962977386,6
156,2,0,94.26,2,0,27053,2004,1,399,28.772823020922093,6
157,3,2,100.18,2,1,22460,2016,2,571,39.92423564699592,6
158,3,2,125.73,1,1,42870,2014,1,579,28.230954912374106,6
159,2,1,87.15,1,1,39358,2013,1,690,21.888437602551775,6
160,3,0,121.25,2,1,47753,2015,1,950,23.360017276405046,6
161,1,1,51.06,2,0,30161,2004,2,578,29.462377155650195,6
162,3,0,119.61,1,1,45900,2013,1,813,23.350113217975586,6
163,2,1,80.8,2,1,41956,2016,1,994,23.60809271543128,6
164,3,1,88.08,2,1,43370,2011,1,233,24.426459086075937,6
165,2,2,69.74,1,1,44738,2014,1,338,22.467935635847684,6
166,1,1,64.86,0,1,26365,2006,1,120,30.00327153052376,6
167,2,2,85.83,2,1,37050,2011,1,792,28.43607047244219,6
168,2,2,83.08,0,1,27083,2006,1,120,30.00327153052376,6
169,2,0,83.87,1,1,30882,2009,2,791,30.094131165811934,6
170,2,0,68.24,2,1,32972,2016,1,750,25.86015720029935,6
171,2,0,74.84,1,1,41289,2014,1,338,22.467935635847684,6
172,3,1,103.77,2,1,47124,2015,1,950,23.360017276405046,6
173,2,2,57.4,2,0,91987,1988,4,431,8.196208986290204,6
174,4,1,287.77,2,1,114675,2014,1,686,18.895061009176498,6
175,3,1,130.9,2,0,88618,1998,1,413,15.013671307773873,6
176,3,2,56.9,2,0,94728,1982,4,431,8.196208986290204,6
177,2,1,57.15,2,0,99738,1979,2,665,6.134769369582114,6
178,3,2,90.8,0,1,127754,1992,2,390,9.685245430464906,6
179,3,0,70.3,0,1,101707,1985,3,377,7.871698433842623,6
180,3,1,126.65,0,1,60719,2001,1,477,17.42151832560887,6
181,4,2,153.17,2,0,62611,2001,2,474,16.04658419368143,6
182,5,2,248.4,0,1,112722,2002,2,346,9.894867321900577,6
183,4,1,164.46,2,0,76615,2003,1,516,17.258459137174896,6
184,2,1,114.52,2,1,80161,2004,1,303,12.819236324697394,6
185,3,0,122.11,2,0,99910,2002,1,450,16.40265823210178,6
186,3,1,139.86,2,0,92093,2003,1,516,17.258459137174896,6
187,3,1,171.16,2,1,112176,2003,1,492,11.694776870572813,6
188,3,1,85.7,0,1,137690,1997,2,559,5.603914049365612,6
189,1,1,46.3,2,0,77322,1995,1,756,17.59049252125483,6
190,2,1,55.4,2,0,107401,1991,2,751,10.332666949751879,6
191,3,0,102.6,0,1,78461,1995,1,402,17.050216509747038,6
192,2,1,84.04,1,1,102333,2006,1,443,7.81421048122868,6
193,2,0,60.6,2,0,97360,1997,1,864,12.215658353795266,6
194,1,2,44.6,0,1,130045,1989,1,477,7.3987217281426245,6
195,2,1,57.7,2,0,103987,1984,2,645,10.018291541252703,6
196,1,2,44.57,0,1,120709,1988,1,634,8.425142846104638,6
197,3,2,150.73,2,1,94540,2011,1,563,17.48521899317965,6
198,3,1,142.44,2,1,130582,2006,1,492,11.694776870572813,6
199,4,2,161.1,2,0,90007,1997,1,872,9.63090434396678,6
200,3,2,132.64,2,1,109319,2004,1,697,10.079423191055387,6
201,3,1,117.95,1,1,95634,1995,2,725,9.784259300384605,6
